,CountryCode,IataCode,CityCode,CityName,AirportName
77,CN,MDG,MDG,Mudanjiang,Mudanjiang Hailang International
78,DZ,INF,INF,In Guezzam,In Guezzam Airport
79,AO,SVP,SVP,Kuito,Kuito
80,RU,KYZ,KYZ,Kyzyl,Kyzyl
81,AU,KTA,KTA,Karratha,Karratha
82,US,PSP,PSP,Palm Springs,Palm Springs International
83,TR,SZF,SZF,Samsun,Samsun-Çarşamba
84,MY,TWU,TWU,Tawau,Tawau
85,OM,KHS,KHS,Khasab,Khasab
86,KN,NEV,NEV,Nevis,Vance W. Amory International
87,TH,TDX,TDX,Trat Province,Trat
88,ID,BKS,BKS,Bengkulu,Fatmawati Soekarno
89,ID,AAP,SRI,Samarinda,APT Pranoto Airport
90,US,PHF,PHF,Newport News,Newport News/Williamsburg International
91,AF,TII,TII,Tarin Kowt,Tarin Kowt Airport
92,NP,KTM,KTM,Kathmandu,Tribhuvan International
93,PG,POM,POM,Port Moresby,Jacksons International
94,AU,NRA,NRA,Narrandera,Narrandera
95,CN,IQM,IQM,Qiemo,Qiemo
96,TH,LPT,LPT,Lampang Province,Lampang
97,IN,IXS,IXS,Silchar,Silchar
98,CL,PUQ,PUQ,Punta Arenas,Presidente Carlos Ibáñez del Campo International
99,TR,ONQ,ONQ,Zonguldak,Caycuma
100,CA,ZNA,YCD,Nanaimo,Nanaimo Harbour
101,PF,UAP,UAP,Ua Pou,Ua Pou
102,US,FLG,GCN,Grand Canyon Village,Flagstaff Pulliam
103,TR,YKO,YKO,Hakkâri,Hakkari–Yüksekova
104,NP,TMI,TMI,Tumlingtar,Tumlingtar
105,ES,GRX,GRX,Granada,Federico García Lorca
106,US,HVN,HVN,New Haven,Tweed New Haven
107,AU,NAA,NAA,Narrabri,Narrabri
108,GB,LSI,SDZ,Shetland Islands,Sumburgh
109,SB,RUS,RUS,Marau Sound,Marau
110,SO,MGQ,MGQ,Mogadishu,Aden Adde International
111,KR,USN,USN,Ulsan,Ulsan
112,LK,NUF,NUF,Hatton,Hatton Castlereigh Resrvr SPB
113,CD,MDK,MDK,Mbandaka,Mbandaka
114,CN,UCB,UCB,Ulanqab,Ulanqab Jining
115,BG,BOJ,BOJ,Burgas,Burgas
116,MX,ZLO,ZLO,Manzanillo,Playa de Oro International
117,US,WTK,WTK,Noatak,Noatak
118,CA,YRT,YRT,Rankin Inlet,Rankin Inlet
119,AR,CPC,CPC,San Martín de los Andes,Aviador Carlos Campos
120,US,RKS,RKS,Rock Springs,Rock Springs–Sweetwater County
121,MX,VSA,VSA,Villahermosa,Villahermosa International
122,CA,YZP,YZP,Sandspit,Sandspit
123,BR,CAW,CAW,Campos dos Goytacazes,Bartolomeu Lysandro
124,IR,TBZ,TBZ,Tabriz,Tabriz International
125,US,IFP,IFP,Bullhead City,Laughlin/Bullhead International
126,CA,YAM,YAM,Sault Ste. Marie,Sault Ste. Marie
127,ME,TGD,TGD,Podgorica,Podgorica
128,MX,LTO,LTO,Loreto,Loreto International
129,AM,LWN,LWN,Gyumri,Shirak
130,MX,LZC,LZC,Lázaro Cárdenas,Lázaro Cárdenas
131,JP,OBO,OBO,Obihiro,Tokachi–Obihiro
132,CH,QLS,QLS,Lausanne,Lausanne-la Blecherette Airport
133,VN,TBB,TBB,Tuy Hòa,Dong Tac
134,BR,MOC,MOC,Montes Claros,Montes Claros
135,JP,KUM,KUM,"Yakushima, Kagoshima",Yakushima
136,GA,LBV,LBV,Libreville,Libreville International
137,MM,NYU,NYU,Bagan,Nyaung U
138,US,DFW,DFW,Dallas,Dallas/Fort Worth International
139,JP,IBR,IBR,Ibaraki,Ibaraki
140,GB,EDI,EDI,Edinburgh,Edinburgh Airport
141,US,EWN,EWN,New Bern,Coastal Carolina Regional
142,RU,SWV,SWV,Evensk,Severo-Evensk
143,US,LAN,LAN,Lansing,Capital Region International
144,CL,LOB,LOB,Los Andes,San Rafael Airport
145,AU,PBO,PBO,Paraburdoo,Paraburdoo
146,CA,YBC,YBC,Baie-Comeau,Baie-Comeau
147,TH,HKT,HKT,Phuket City,Phuket International
148,BG,PDV,PDV,Plovdiv,Plovdiv
149,ID,SAU,SAU,Sawu-Sawu Island,Sawu Airport
150,BR,JTC,JTC,Bauru,Bauru-Arealva
151,NL,BON,BON,Bonaire,Flamingo International
152,US,LIH,LIH,Kauai,Lihue
153,RU,AER,AER,Sochi,Sochi International
154,SE,VXO,VXO,Växjö,Växjö Småland
155,US,ALB,ALB,Albany,Albany International
156,ZZ,ECN,ECN,Northern Cyprus,Ercan International
157,CR,GLF,GLF,Golfito,Golfito
158,UZ,BHK,BHK,Bukhara,Bukhara International
159,CA,AKV,AKV,Akulivik,Akulivik
160,PF,TKP,TKP,Takapoto,Takapoto
161,ET,SHC,SHC,Shire,Shire
162,IN,BKB,BKB,Bikaner,Nal Airport
163,SB,CHY,CHY,Choiseul Bay,Choiseul Bay
164,KE,UAS,UAS,Samburu County,Samburu
165,BO,SRE,SRE,Sucre,Alcantarí International Airport
166,US,JAX,JAX,Jacksonville,Jacksonville International
167,DE,DRS,DRS,Dresden,Dresden
168,CN,YBP,YBP,Yibin,Yibin Caiba
169,PA,CHX,CHX,Changuinola,Changuinola  Capitán Manuel Niño  International
170,AU,BNK,BNK,Ballina,Ballina Byron Gateway
171,US,EFD,HOU,Houston,Ellington
172,US,LEB,LEB,Lebanon,Lebanon Municipal
173,JP,NKM,NGO,Nagoya,Nagoya Airfield
174,ID,OTI,OTI,Morotai,Leo Wattimena
175,ID,UOL,UOL,Buol,Pogogul
176,CO,BAQ,BAQ,Barranquilla,Ernesto Cortissoz International
177,IN,IXP,IXP,Pathankot,Pathankot Airport
178,CO,CLO,CLO,Cali,Alfonso Bonilla Aragón International
179,TN,DJE,DJE,Djerba,Djerba–Zarzis International
180,NO,SKN,SKN,Stokmarknes,"Stokmarknes Airport, Skagen"
181,US,FWA,FWA,Fort Wayne,Fort Wayne International
182,ES,EAS,EAS,Donostia / San Sebastián,San Sebastián
183,AU,CNS,CNS,Cairns,Cairns
184,IN,JLR,JLR,Jabalpur,Jabalpur
185,TZ,DAR,DAR,Dar es Salaam,Julius Nyerere International
186,KZ,TDK,TDK,Taldykorgan,Taldykorgan
187,TH,BKK,BKK,Bangkok,Suvarnabhumi
188,CL,IQQ,IQQ,Iquique,Diego Aracena International
189,CN,LYA,LYA,Luoyang,Luoyang Beijiao
190,US,IAG,IAG,Niagara Falls,Niagara Falls International
191,US,GTR,UBS,Columbus,Golden Triangle Regional
192,DE,HAJ,HAJ,Hanover,Hannover
193,CA,YER,YER,Fort Severn First Nation,Fort Severn Airport
194,KZ,URA,URA,Oral,Oral Ak Zhol
195,SA,TUU,TUU,Tabuk,Tabuk Regional
196,CN,LYI,LYI,Linyi,Linyi Shubuling
197,US,WRG,WRG,Wrangell,Wrangell
198,UA,DNK,DNK,Dnipro,Dnipropetrovsk International
199,KR,CJU,CJU,Jeju City,Jeju International
200,BL,SBH,SBH,Saint Barthélemy,Gustaf III
201,IT,TRS,TRS,Trieste,Trieste – Friuli Venezia Giulia
202,FJ,RTA,RTA,Rotuma,Rotuma
203,US,BUF,BUF,Buffalo,Buffalo Niagara International
204,MV,VAM,VAM,Maamigili,Villa International
205,RU,VVO,VVO,Vladivostok,Vladivostok International
206,US,BKG,BKG,Branson,Branson
207,CO,BOG,BOG,Bogotá,El Dorado International
208,TR,ERZ,ERZ,Erzurum,Erzurum
209,BR,AJU,AJU,Aracaju,Santa Maria
210,CN,WUZ,WUZ,Wuzhou,Changzhoudao Airport
211,CA,YFS,YFS,Fort Simpson,Fort Simpson
212,AU,CMA,CMA,Cunnamulla,Cunnamulla
213,IN,SAG,SAG,Shirdi,Shirdi
214,AO,VHC,VHC,Saurimo,Saurimo
215,US,BFF,BFF,Scottsbluff,Western Nebraska Regional
216,RU,MQJ,MQJ,Khonuu,Moma
217,PE,AYX,AYX,Atalaya,Aeródromo Tnte. Gral. Gerardo Pérez Pinedo
218,IN,HYD,HYD,Hyderabad,Rajiv Gandhi International
219,NA,ERS,WDH,Windhoek,Eros
220,ID,MOF,MOF,Maumere,Frans Xavier Seda
221,MY,BKM,BKM,Ba kelalan,Ba kelalan
222,MA,TTU,TTU,Tétouan,Sania Ramel
223,ES,VGO,VGO,Vigo,Vigo–Peinador
224,DZ,ELG,ELG,El Goléa,El Golea
225,SB,BNY,BNY,Bellona Island,Bellona/Anua
226,CA,YZZ,YZZ,Trail,Trail
227,US,DTW,DTT,Detroit,Detroit Metropolitan
228,AU,CNJ,CNJ,Cloncurry,Cloncurry
229,AU,ISA,ISA,Mount Isa,Mount Isa
230,VU,PBJ,PBJ,Paama,Paama
231,BR,PIN,PIN,Parintins,Parintins
232,FI,IVL,IVL,Ivalo,Ivalo
233,US,DCA,WAS,"Washington, D.C.",Ronald Reagan Washington National
234,CO,RCH,RCH,Riohacha,Almirante Padilla
235,PE,TRU,TRU,Trujillo,FAP Captain Carlos Martínez de Pinillos International
236,RU,SUY,SUY,Suntar,Suntar
237,EG,ASW,ASW,Aswan,Aswan International
238,US,MOB,MOB,Mobile,Mobile Regional
239,IN,SLV,SLV,Shimla,Shimla
240,VU,VLS,VLS,Valesdir,Valesdir
241,NL,EIN,EIN,Eindhoven,Eindhoven
242,CA,YBK,YBK,"Baker Lake, Nunavut",Baker Lake
243,ES,AGP,AGP,Málaga,Málaga
244,US,AVL,AVL,Asheville,Asheville Regional
245,YE,ADE,ADE,Aden,Aden International Airport
246,LA,LPQ,LPQ,Luang Prabang,Luang Prabang International
247,US,EKO,EKO,Elko,Elko Regional
248,AU,GTE,GTE,Groote Eylandt,Groote Eylandt
249,US,IAH,HOU,Houston,George Bush Intercontinental
250,NO,BNN,BNN,Brønnøysund,"Brønnøysund Airport, Brønnøy"
251,MX,TIJ,TIJ,Tijuana,Tijuana International
252,AU,DRW,DRW,Darwin,Darwin International
253,CN,TLQ,TLQ,Turpan,Turpan Jiaohe
254,NZ,NPE,NPE,Napier,Hawke's Bay
255,FR,MEN,MEN,Brenoux,Mende
256,BR,RIA,RIA,Santa Maria,Santa Maria
257,NZ,NPL,NPL,New Plymouth,New Plymouth
258,BW,BBK,BBK,Kasane,Kasane
259,FJ,SUV,SUV,Suva,Nausori International
260,BR,ATM,ATM,Altamira,Altamira
261,FR,DZA,DZA,Mamoudzou,Dzaoudzi–Pamandzi International
262,NZ,BHE,BHE,Blenheim,Woodbourne
263,CN,NZH,NZH,Manzhouli,Manzhouli Xijiao
264,NO,KKN,KKN,Kirkenes,"Kirkenes Airport, Høybuktmoen"
265,GL,NAQ,NAQ,Qaanaaq,Qaanaaq
266,BN,BWN,BWN,Bandar Seri Begawan,Brunei International
267,TG,LFW,LFW,Lomé,Lomé–Tokoin International
268,CA,XLB,XLB,"Lac Brochet, Manitoba",Lac Brochet
269,NL,EUX,EUX,Sint Eustatius,F. D. Roosevelt
270,TN,TUN,TUN,Tunis,Tunis–Carthage International
271,RU,UTS,UTS,Ust-Tsilma,Ust-Tsilma
272,TR,DLM,DLM,Dalaman,Dalaman
273,KE,OLX,MRE,Maasai Mara,Olkiombo Airstrip
274,CN,KJI,KJI,Burqin,Kanas
275,BW,FRW,FRW,Francistown,Francistown
276,MA,RBA,RBA,Rabat,Rabat–Salé
277,FI,KAO,KAO,Kuusamo,Kuusamo
278,MW,ZZU,ZZU,Mzuzu,Mzuzu Airport
279,US,LSE,LSE,La Crosse,La Crosse Regional
280,CA,WNN,WNN,Wunnumin Lake First Nation,Wunnumin Lake Airport
281,IN,AJL,AJL,Aizawl,Lengpui
282,US,ROW,ROW,Roswell,Roswell International Air Center
283,US,CDB,CDB,Cold Bay,Cold Bay
284,SA,HAS,HAS,Ha il,Ha il Regional
285,CO,EYP,EYP,Yopal,El Alcaraván
286,US,CDC,CDC,Cedar City,Cedar City Regional
287,PF,MVT,MVT,Mataiva,Mataiva
288,RU,PES,PES,Petrozavodsk,Petrozavodsk
289,US,CYS,CYS,Cheyenne,Cheyenne Regional
290,AR,UAQ,UAQ,San Juan,Domingo Faustino Sarmiento
291,US,PIT,PIT,Pittsburgh,Pittsburgh International
292,CN,OHE,OHE,Mohe County,Mohe Gulian
293,US,BFD,BFD,Bradford,Bradford Regional
294,VU,MTV,MTV,Mota Lava,Mota Lava
295,KZ,KZO,KZO,Kyzylorda,Kyzylorda
296,DO,PUJ,PUJ,Punta Cana,Punta Cana International
297,US,STS,STS,Santa Rosa,Charles M. Schulz–Sonoma County
298,CA,YSJ,YSJ,Saint John,Saint John
299,IN,BOM,BOM,Mumbai,Chhatrapati Shivaji International
300,AU,AVV,MEL,Melbourne,Avalon
301,BJ,COO,COO,Cotonou,Cadjehoun
302,RO,BAY,BAY,Baia Mare,Baia Mare Airport
303,US,ONT,ONT,Ontario,Ontario International
304,SG,SIN,SIN,Singapore,Singapore Changi
305,IT,PSR,PSR,Pescara,Abruzzo
306,ID,BIK,BIK,Biak,Frans Kaisiepo International
307,CN,HZG,HZG,Hanzhong,Hanzhong Xiguan
308,DO,STI,STI,Santiago de los Caballeros,Cibao International
309,MW,LLW,LLW,Lilongwe,Lilongwe International
310,IT,MXP,MIL,Milan,Milan–Malpensa
311,SB,PRS,PRS,Parasi,Parasi Airport
312,NG,CBQ,CBQ,Calabar,Margaret Ekpo International
313,NI,ECI,ECI,Rivas,Costa Esmeralda
314,CV,SNE,SNE,São Nicolau,Preguiça
315,NG,KAD,KAD,Kaduna,Kaduna International
316,CA,YBT,YBT,"Brochet, Manitoba",Brochet
317,US,OAJ,OAJ,Jacksonville,Albert J. Ellis
318,CN,BPX,BPX,"Chengguan, Chamdo",Qamdo Bamda
319,IN,DIU,DIU,Diu,Diu
320,MX,GDL,GDL,Guadalajara,Guadalajara International
321,IE,KIR,KIR,County Kerry,Kerry
322,CK,AIT,AIT,Aitutaki,Aitutaki
323,CO,EJA,EJA,Barrancabermeja,Yariguíes
324,CN,AHJ,AHJ,Aba Hongyuan,Aba/Hongyuan
325,AU,HBA,HBA,Hobart,Hobart International
326,US,HDN,HDN,Hayden,Yampa Valley
327,BR,BRA,BRA,Barreiras,Barreiras
328,FR,MPL,MPL,Montpellier,Montpellier–Méditerranée
329,ID,DJJ,DJJ,Jayapura,Sentani International
330,CA,YQG,YQG,Windsor,Windsor International
331,GB,BRR,BRR,Barra,Barra
332,AZ,GYD,BAK,Baku,Heydar Aliyev International
333,DZ,TIN,TIN,Tindouf,Tindouf
334,CN,GYU,GYU,Guyuan County,Guyuan Liupanshan
335,GB,GLA,GLA,Glasgow,Glasgow
336,CD,BKY,BKY,Bukavu,Kavumu
337,US,DSM,DSM,Des Moines,Des Moines International
338,ID,MJU,MJU,Mamuju Regency,Tampa Padang
339,JM,KTP,KTP,Tinson Pen,Tinson Pen Airport
340,CA,YQD,YQD,The Pas,The Pas
341,FI,VAA,VAA,Vaasa,Vaasa
342,CN,YIC,YIC,"Yichun, Jiangxi",Yichun Mingyueshan
343,FI,KEM,KEM,Kemi,Kemi-Tornio
344,CA,YBL,YBL,Campbell River,Campbell River
345,NO,MQN,MQN,Mo i Rana,"Mo i Rana Airport, Røssvoll"
346,PG,HGU,HGU,Mount Hagen,Mount Hagen
347,CA,YHD,YHD,Dryden,Dryden Regional
348,US,PEC,PEC,Pelican,Pelican Sea Plane Base
349,BR,CGH,SAO,São Paulo,São Paulo–Congonhas
350,JP,YGJ,YGJ,Yonago,Miho-Yonago
351,GB,BOH,BOH,Bournemouth,Bournemouth
352,PF,KKR,KKR,Kaukura,Kaukura
353,US,BMI,BMI,Bloomington,Central Illinois Regional
354,ID,PKY,PKY,Palangka Raya,Tjilik Riwut
355,FR,PGF,PGF,Perpignan,Perpignan–Rivesaltes
356,CA,YTS,YTS,Timmins,Timmins/Victor M. Power
357,CK,RAR,RAR,Rarotonga,Rarotonga International
358,US,PVD,PVD,Providence,T. F. Green
359,IE,DUB,DUB,Dublin,Dublin
360,DO,SDQ,SDQ,Santo Domingo,Las Américas International
361,JP,IKI,IKI,Iki,Iki
362,RU,DME,MOW,Moscow,Domodedovo International
363,EC,OCC,OCC,Puerto Francisco de Orellana,Francisco de Orellana
364,CL,LSC,LSC,La Serena,La Florida
365,FR,PTP,PTP,Pointe-à-Pitre,Pointe-à-Pitre International
366,MR,OUZ,OUZ,Zouérat,Tazadit
367,BR,LDB,LDB,Londrina,Londrina
368,JP,KCZ,KCZ,Kochi,Kōchi
369,CA,YIF,YIF,"Saint-Augustin, Côte-Nord, Quebec",Saint-Augustin
370,KM,HAH,YVA,Moroni,Prince Said Ibrahim International
371,ID,LKA,LKA,Larantuka,Gewayantana
372,BR,CFO,CFO,Confresa,Confresa Airport
373,ZZ,IXL,IXL,Leh,Kushok Bakula Rimpochee
374,AR,EZE,BUE,Buenos Aires,Ministro Pistarini International
375,LA,PKZ,PKZ,Pakse,Pakse International
376,NO,BOO,BOO,Bodø,Bodø
377,CL,ANF,ANF,Antofagasta,Andrés Sabella Gálvez International
378,PH,CRM,CRM,"Catarman, Northern Samar",Catarman National
379,BS,IGA,IGA,Inagua,Inagua
380,CA,YWB,YWB,Kangiqsujuaq,Kangiqsujuaq (Wakeham Bay)
381,CR,XQP,XQP,Quepos,Quepos La Managua
382,AU,ELC,ELC,Elcho Island,Elcho Island
383,RU,EKS,EKS,Shakhtyorsk,Shakhtersk
384,US,XWA,ISN,Williston,Williston Basin International Airport
385,ES,XRY,XRY,Jerez de la Frontera,Jerez
386,US,PSG,PSG,Petersburg,Petersburg James A. Johnson
387,TH,KOP,KOP,Nakhon Phanom Province,Nakhon Phanom
388,ET,AXU,AXU,Axum,Axum
389,SE,AJR,AJR,Arvidsjaur,Arvidsjaur
390,CA,YMM,YMM,Fort McMurray,Fort McMurray International
391,US,GGW,GGW,Glasgow,Glasgow
392,CA,YZG,YSW,Salluit,Salluit
393,CA,YZS,YZS,Coral Harbour,Coral Harbour
394,NO,MJF,MJF,Mosjøen,"Mosjøen Airport, Kjærstad"
395,KR,CJJ,CJJ,Cheongju,Cheongju International
396,AU,BCI,BCI,Barcaldine,Barcaldine
397,RU,BTK,BTK,Bratsk,Bratsk
398,RU,BQS,BQS,Blagoveshchensk,Ignatyevo
399,KZ,KSN,KSN,Kostanay,Kostanay
400,PF,KHZ,KHZ,Kauehi,Kauehi
401,US,CMI,CMI,Champaign,University of Illinois Willard
402,US,FAR,FAR,Fargo,Hector International
403,RU,DPT,DPT,"Deputatsky, Sakha Republic",Deputatsky
404,CA,YGL,YGL,La Grande River,La Grande Rivière
405,ID,KSR,KSR,Selayar Regency,Haji Aroeppala
406,US,BDL,HFD,Hartford,Bradley International
407,US,FCA,FCA,Kalispell,Glacier Park International
408,ID,SMQ,SMQ,Sampit,H. Asan
409,MM,RGN,RGN,Yangon,Yangon International
410,CA,YUL,YMQ,Montreal,Montréal–Pierre Elliott Trudeau International
411,CA,YCD,YCD,Nanaimo,Nanaimo
412,LT,VNO,VNO,Vilnius,Vilnius
413,GB,ABZ,ABZ,Aberdeen,Aberdeen
414,NZ,TUO,TUO,Taupo,Taupo
415,IN,VDY,VDY,Vidyanagar,Vidyanagar
416,PT,HOR,HOR,"Horta, Azores",Horta
417,BR,POA,POA,Porto Alegre,Salgado Filho International
418,AU,CTN,CTN,Cooktown,Cooktown
419,MX,NLD,NLD,Nuevo Laredo,Nuevo Laredo International
420,US,ART,ART,Watertown,Watertown International
421,PF,FAV,FAV,Fakarava,Fakarava
422,US,LBL,LBL,Liberal,Liberal Mid-America Regional
423,US,CMX,CMX,Hancock,Houghton County Memorial
424,CL,CJC,CJC,Calama,El Loa
425,US,TOL,TOL,Toledo,Toledo Express
426,AU,LEA,LEA,Exmouth,RAAF Base Learmonth
427,SA,RUH,RUH,Riyadh,King Khalid International
428,TR,DNZ,DNZ,Denizli,Denizli Çardak
429,AR,VDM,VDM,Viedma,Gobernador Edgardo Castello
430,MX,CME,CME,Ciudad del Carmen,Ciudad del Carmen International
431,RU,USK,USK,Usinsk,Usinsk
432,GR,JMK,JMK,Mykonos,Mykonos Island National
433,NZ,PCN,PCN,Picton,Picton Aerodrome
434,HU,QGY,QGY,Gyor,Gyor-Per International Airport
435,AW,AUA,AUA,Aruba,Queen Beatrix International
436,ID,RTG,RTG,Ruteng,Frans Sales Lega
437,ES,VLC,VLC,Valencia,Valencia
438,FM,PNI,PNI,Pohnpei,Pohnpei International
439,CN,TCG,TCG,Tacheng Prefecture,Tacheng
440,TW,TSA,TPE,Taipei,Taipei Songshan
441,BR,PFB,PFB,Passo Fundo,Lauro Kurtz
442,CN,CIH,CIH,Changzhi,Changzhi Wangcun
443,AU,CAZ,CAZ,Cobar,Cobar
444,PH,CGM,CGM,Camiguin,Camiguin
445,AU,IVR,IVR,Inverell,Inverell
446,SE,GOT,GOT,Gothenburg,Göteborg Landvetter
447,IR,IKA,THR,Tehran,Tehran Imam Khomeini International
448,GL,KUZ,KUZ,Kuummiit,Kuummiut Heliport
449,MY,LBP,LBP,Long Banga,Long Banga
450,IN,PGH,PGH,Pantnagar,Pantnagar
451,BA,TZL,TZL,Tuzla,Tuzla International
452,JM,OCJ,OCJ,Ocho Rios,Boscobel Aerodrome
453,GR,JSI,JSI,Skiathos,Skiathos Island National
454,CN,LDS,LDS,"Yichun, Heilongjiang",Yichun Lindu
455,US,CIU,SSM,Sault Sainte Marie,Chippewa County International
456,VE,VLN,VLN,Valencia,Arturo Michelena International
457,US,SYR,SYR,Syracuse,Syracuse Hancock International
458,PL,KTW,KTW,Katowice,Katowice International
459,DZ,TID,TID,Tiaret,Abdelhafid Boussouf Bou Chekif
460,VN,VCA,VCA,Can Tho,Can Tho International
461,SE,OSD,OSD,Östersund,Åre Östersund
462,RU,NYM,NYM,Nadym,Nadym
463,PT,VRL,VRL,Vila Real,Vila Real
464,TH,CEI,CEI,Chiang Rai Province,Chiang Rai International
465,IN,BLR,BLR,Bengaluru,Bengaluru International
466,PG,MAG,MAG,Madang,Madang
467,BS,ELH,ELH,North Eleuthera,North Eleuthera
468,CN,KHN,KHN,Nanchang,Nanchang Changbei International
469,PF,RUR,RUR,Rurutu,Rurutu
470,MM,MDL,MDL,Mandalay,Mandalay International
471,FM,TKK,TKK,Chuuk State,Chuuk International
472,US,BTM,BTM,Butte,Bert Mooney
473,RO,TSR,TSR,Timișoara,Timișoara Traian Vuia International
474,KZ,PPK,PPK,Petropavl,Petropavl
475,ID,DEX,DEX,Yahukimo Regency,Nop Goliat Dekai
476,RU,KRR,KRR,Krasnodar,Krasnodar International
477,DZ,OGX,OGX,Ouargla,Ain Beida
478,BS,TCB,TCB,Treasure Cay,Treasure Cay
479,SE,HAD,HAD,Halmstad,Halmstad
480,DZ,AAE,AAE,Annaba,Rabah Bitat
481,AU,KNX,KNX,Kununurra,East Kimberley Regional
482,TR,ESB,ANK,Ankara,Esenboğa International
483,AU,PPP,PPP,Proserpine,Whitsunday Coast
484,PG,LAE,LAE,Lae,Lae Nadzab
485,UA,KHE,KHE,Kherson,Kherson International
486,CN,JUH,JUH,Chizhou,Chizhou Jiuhuashan
487,US,IAN,IAN,Kiana,Bob Baker Memorial
488,BS,MYG,MYG,Mayaguana,Mayaguana
489,GB,LDY,LDY,Derry,City of Derry
490,AR,NQN,NQN,Neuquén,Presidente Perón International
491,MX,TAP,TAP,Tapachula,Tapachula International
492,PL,WRO,WRO,Wrocław,Copernicus Airport Wrocław
493,UZ,TAS,TAS,Tashkent,Tashkent International
494,UZ,NMA,NMA,Namangan,Namangan
